iter	RMSE
0	968.5688632
1	930.9569464
2	895.8857215
3	865.0400052
4	834.2626924
5	805.338223
6	779.7376081
7	755.4707477
8	731.9475322
9	711.3445075
10	690.5495746
11	671.0276138
12	652.3960914
13	634.7278682
14	619.2548604
15	603.12614
16	588.8444808
17	574.142716
18	560.8273645
19	548.2649725
20	536.2647966
21	524.6638319
22	514.1326437
23	503.3974895
24	493.7225733
25	484.3752769
26	475.7573198
27	466.3931252
28	457.7865618
29	449.8960507
30	442.3908038
31	434.9493829
32	427.659828
33	420.5547716
34	413.7615641
35	407.0171126
36	400.8791502
37	394.954662
38	389.0890629
39	383.3924118
40	378.2805979
41	372.7404541
42	367.5519299
43	362.6659515
44	357.8810231
45	352.9153762
46	348.3297466
47	344.0036956
48	339.9577788
49	335.7146003
50	331.865238
51	327.5379357
52	323.7283284
53	319.8957464
54	316.1556261
55	312.2943711
56	308.7702951
57	304.8651321
58	301.7728634
59	298.5321634
60	295.3756538
61	291.9591476
62	288.9189459
63	285.8185276
64	282.8463572
65	279.5163883
66	276.9307153
67	273.9026086
68	270.9042832
69	267.9937343
70	265.3589227
71	262.9604752
72	260.2217959
73	257.9979767
74	255.7036292
75	253.122778
76	250.5962318
77	248.1849063
78	245.9247616
79	243.5371039
80	241.3709246
81	239.3592102
82	237.1283324
83	235.3032138
84	232.9163915
85	231.1598427
86	229.2851246
87	226.7857163
88	224.8384774
89	222.7659073
90	220.8239876
91	219.0208871
92	217.3039714
93	215.6573321
94	213.9587361
95	212.280649
96	210.7453295
97	209.3327523
98	207.1487023
99	205.713064
100	203.6978341
101	202.2972734
102	200.4366997
103	198.9709382
104	197.151133
105	195.3820915
106	194.0591088
107	192.6921561
108	191.1829929
109	189.8149609
110	188.2380783
111	186.9295567
112	185.660681
113	184.4744613
114	183.2723554
115	181.9600367
116	180.8793186
117	179.7225357
118	178.6225323
119	177.5399801
120	176.3609882
121	175.1840439
122	174.1248479
123	172.8425583
124	171.6434982
125	170.6305208
126	169.4594569
127	168.4913364
128	167.4736159
129	166.5643775
130	165.721542
131	164.7556326
132	163.1004298
133	162.2003988
134	161.4428975
135	160.5539221
136	159.5442793
137	158.32171
138	156.8728207
139	156.0238167
140	155.2512734
141	154.312482
142	153.5731513
143	152.6758993
144	151.6363768
145	150.857222
146	149.8142571
147	149.0740369
148	148.3297911
149	147.6874688
150	146.8593214
151	145.7594528
152	144.6272855
153	143.8567686
154	143.2481407
155	142.5217622
156	141.7708345
157	141.1308142
158	140.5141444
159	139.767718
160	139.0490493
161	138.2638838
162	137.6467836
163	137.0640846
164	136.4770834
165	135.8191956
166	135.3365018
167	134.7825843
168	133.8273972
169	133.2869107
170	132.7251294
171	131.9062628
172	131.1195806
173	130.6225021
174	130.0045171
175	129.4844191
176	129.0142338
177	128.4148682
178	127.8925107
179	127.4083476
180	126.8370871
181	126.3781979
182	125.8914849
183	125.4256156
184	124.8413844
185	124.3922871
186	123.5922478
187	123.1222486
188	122.7169601
189	122.0292783
190	121.3888329
191	120.9294507
192	120.4424791
193	119.9180791
194	119.5106154
195	119.1229764
196	118.7370838
197	118.295221
198	117.9305483
199	117.4071421
200	116.8554296
201	116.2453453
202	115.8960732
203	115.5361569
204	115.1101816
205	114.7077452
206	114.3595311
207	113.7497672
208	113.4129304
209	113.0643962
210	112.6377008
211	112.3136895
212	111.980131
213	111.6459282
214	111.2629538
215	110.7911851
216	110.3932749
217	110.0595746
218	109.7363272
219	109.4160364
220	109.1295141
221	108.8654555
222	108.5758729
223	108.0244724
224	107.7144097
225	107.4426572
226	107.184323
227	106.8125572
228	106.4785872
229	105.9261437
230	105.5186587
231	105.2635188
232	104.9875709
233	104.755069
234	104.4992514
235	104.265091
236	103.9878814
237	103.7589146
238	103.5086959
239	103.2059378
240	102.7594139
241	102.5179772
242	102.2903508
243	101.9887832
244	101.6819927
245	101.4423106
246	101.2270122
247	100.8288711
248	100.5827294
249	100.1941909
250	99.97779281
251	99.73202765
252	99.52166058
253	99.26373063
254	99.02548585
255	98.69675693
256	98.21587864
257	98.04047411
258	97.79810337
259	97.53751226
260	97.31784859
261	97.1188767
262	96.86040746
263	96.68771431
264	96.40421597
265	96.16342245
266	95.96272239
267	95.77831238
268	95.39667951
269	95.14678604
270	94.86000331
271	94.55398408
272	94.30071901
273	94.1099335
274	93.92598482
275	93.75144531
276	93.44037941
277	93.24182014
278	93.03987812
279	92.84012947
280	92.56093474
281	92.34065153
282	92.17080373
283	92.01956489
284	91.80643495
285	91.65432405
286	91.38732694
287	91.19809785
288	91.02758244
289	90.86264842
290	90.68796431
291	90.55139064
292	90.41229409
293	90.25772765
294	90.07083758
295	89.80734568
296	89.66988091
297	89.43295401
298	89.29447752
299	89.15840863
300	88.92793912
301	88.72427818
302	88.56694357
303	88.41969961
304	88.20447885
305	88.02521472
306	87.90268758
307	87.72058566
308	87.57366753
309	87.35693489
310	87.17596788
311	87.05335692
312	86.91946539
313	86.80687535
314	86.68675528
315	86.573822
316	86.38480852
317	86.23437036
318	86.05762419
319	85.91695125
320	85.77674732
321	85.61325176
322	85.45695537
323	85.33621433
324	85.1497515
325	85.00594495
326	84.86725526
327	84.75352004
328	84.54456124
329	84.40476896
330	84.26591848
331	84.16359033
332	84.07086964
333	83.951696
334	83.80868809
335	83.69991609
336	83.57649822
337	83.44373954
338	83.28965969
339	83.11861333
340	82.96906979
341	82.85904785
342	82.73282051
343	82.57745785
344	82.44340152
345	82.33636272
346	82.20846893
347	82.06558172
348	81.97216792
349	81.84264978
350	81.75475761
351	81.62122314
352	81.47888117
353	81.38070481
354	81.24850945
355	81.14768275
356	81.0182737
357	80.87686366
358	80.74142238
359	80.58524548
360	80.46294971
361	80.33553689
362	80.23112006
363	80.11775119
364	79.99278204
365	79.90849519
366	79.76465456
367	79.64747168
368	79.51639685
369	79.39377588
370	79.28911913
371	79.17530768
372	79.07908771
373	78.98744112
374	78.84063946
375	78.74008636
376	78.62914222
377	78.53986025
378	78.41819835
379	78.32762649
380	78.22217635
381	78.14326662
382	78.04997207
383	77.9784502
384	77.87836234
385	77.78086927
386	77.67111433
387	77.5639756
388	77.48959518
389	77.40417403
390	77.3227573
391	77.21140573
392	77.11248133
393	77.03086493
394	76.94432648
395	76.80961853
396	76.72012069
397	76.61399874
398	76.544118
399	76.45817872
400	76.3531505
401	76.23276966
402	76.16258701
403	76.03533858
404	75.96148186
405	75.88798049
406	75.81957528
407	75.69536122
408	75.61698916
409	75.53455167
410	75.45524457
411	75.37299237
412	75.27811457
413	75.17147303
414	75.09536674
415	74.96956334
416	74.89814309
417	74.81227078
418	74.74822686
419	74.66593914
420	74.59944809
421	74.53029884
422	74.45679512
423	74.37263036
424	74.31061304
425	74.24852498
426	74.17983648
427	74.10683042
428	74.04913832
429	73.9698902
430	73.88930689
431	73.82623272
432	73.74806379
433	73.67011934
434	73.5890841
435	73.52813146
436	73.44361748
437	73.37824774
438	73.29349257
439	73.19234477
440	73.10527859
441	73.03621225
442	72.95215464
443	72.86261309
444	72.8065251
445	72.75088665
446	72.67319697
447	72.59718977
448	72.53213693
449	72.47650075
450	72.39825077
451	72.3190679
452	72.25538492
453	72.19343544
454	72.12838652
455	72.05874254
456	71.99070875
457	71.89107849
458	71.82183902
459	71.75646596
460	71.66373522
461	71.59446661
462	71.54610123
463	71.47163204
464	71.39623778
465	71.32072412
466	71.25362173
467	71.19777158
468	71.12819792
469	71.0832444
470	71.02096589
471	70.93327187
472	70.8863212
473	70.82166906
474	70.75028036
475	70.702834
476	70.65224613
477	70.58827302
478	70.53360875
479	70.48990629
480	70.42077316
481	70.37034824
482	70.28244971
483	70.21587243
484	70.15024752
485	70.10991639
486	70.04353881
487	69.97529511
488	69.92557611
489	69.8699374
490	69.80429157
491	69.74356579
492	69.70075817
493	69.6542526
494	69.61421254
495	69.56798149
496	69.50582531
497	69.46039045
498	69.40458404
499	69.33560913
500	69.27913856
501	69.23933171
502	69.18089653
503	69.12236035
504	69.05689527
505	68.99725924
506	68.95944244
507	68.91695918
508	68.86971052
509	68.81974164
510	68.7611483
511	68.6946774
512	68.62091945
513	68.56818393
514	68.51755417
515	68.45863328
516	68.38244885
517	68.32071994
518	68.28121554
519	68.2391737
520	68.18066398
521	68.12617481
522	68.07762726
523	68.03782109
524	67.99437919
525	67.94845629
526	67.89383262
527	67.82062867
528	67.78250964
529	67.74721882
530	67.70797707
531	67.65258111
532	67.60254959
533	67.53500101
